FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
1,2010-06-04,Falcon 9,200.0,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0003,-80.577366,28.5618571
2,2010-12-08,Falcon 9,6692.520170454546,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0004,-80.577366,28.5618571
3,2012-05-22,Falcon 9,6692.520170454546,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0005,-80.577366,28.5618571
4,2012-10-08,Falcon 9,6692.520170454546,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0006,-80.577366,28.5618571
5,2013-03-01,Falcon 9,525.0,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B0007,-80.577366,28.5618571
6,2013-09-29,Falcon 9,400.0,ISS,VAFB SLC 4E,False Ocean,1.0,False,False,False,,1.0,0.0,B1003,-120.610829,34.632093
7,2013-12-03,Falcon 9,400.0,LEO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1004,-80.577366,28.5618571
8,2014-01-06,Falcon 9,677.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1005,-80.577366,28.5618571
9,2014-04-18,Falcon 9,500.0,PO,CCSFS SLC 40,True Ocean,1.0,False,False,True,,1.0,0.0,B1006,-80.577366,28.5618571
10,2014-07-14,Falcon 9,3170.0,GTO,CCSFS SLC 40,True Ocean,1.0,False,False,True,,1.0,0.0,B1007,-80.577366,28.5618571
11,2014-08-05,Falcon 9,3325.0,GTO,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1008,-80.577366,28.5618571
12,2014-09-07,Falcon 9,2296.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1011,-80.577366,28.5618571
13,2014-09-21,Falcon 9,1316.0,LEO,CCSFS SLC 40,False Ocean,1.0,False,False,False,,1.0,0.0,B1010,-80.577366,28.5618571
14,2015-01-10,Falcon 9,4535.0,GTO,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1012,-80.577366,28.5618571
15,2015-02-11,Falcon 9,4428.0,GTO,CCSFS SLC 40,True Ocean,1.0,True,False,True,,1.0,0.0,B1013,-80.577366,28.5618571
16,2015-03-02,Falcon 9,2216.0,ISS,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1014,-80.577366,28.5618571
17,2015-04-14,Falcon 9,2395.0,ISS,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb761634e7cb,1.0,0.0,B1015,-80.577366,28.5618571
18,2015-04-27,Falcon 9,570.0,ES-L1,CCSFS SLC 40,None None,1.0,False,False,False,,1.0,0.0,B1016,-80.577366,28.5618571
19,2015-06-28,Falcon 9,1954.0,GTO,CCSFS SLC 40,None ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1018,-80.577366,28.5618571
20,2015-12-22,Falcon 9,2205.0,GTO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0.0,B1019,-80.577366,28.5618571
21,2016-01-17,Falcon 9,1898.0,ISS,VAFB SLC 4E,False ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0.0,B1017,-120.610829,34.632093
22,2016-03-04,Falcon 9,4707.0,GTO,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1020,-80.577366,28.5618571
23,2016-04-08,Falcon 9,2477.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021,-80.577366,28.5618571
24,2016-05-06,Falcon 9,2034.0,LEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1022,-80.577366,28.5618571
25,2016-05-27,Falcon 9,553.0,PO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1023,-80.577366,28.5618571
26,2016-06-15,Falcon 9,5271.0,GTO,CCSFS SLC 40,False ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1024,-80.577366,28.5618571
27,2016-07-18,Falcon 9,3136.0,ISS,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1.0,B1025,-80.577366,28.5618571
28,2016-08-14,Falcon 9,4696.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1026,-80.577366,28.5618571
29,2016-09-01,Falcon 9,3100.0,GTO,CCSFS SLC 40,None ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,0.0,B1028,-80.577366,28.5618571
30,2017-01-14,Falcon 9,1800.0,GTO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1029,-120.610829,34.632093
31,2017-02-19,Falcon 9,1800.0,GTO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1031,-80.6039558,28.6080585
